F,"Eine Entscheidung wie die von #Benandjerrys fördert bewusst oder unbewusst massiv den #Antisemitismus und ist besonders perfide, wenn die Begründung die vermeintlich besonders anspruchsvolle corporate social responsibility des Unternehmens sei. https://t.co/x5PKKPs00H"
F,#BTW2021 die @FDPBW steht bereit. 💪🏻 #vielzutun https://t.co/tZOqkAFua9
F,"RT @MarcoBuschmann: Wenn #Blackrock vor der @fdp warnt, rufen die Linken auf Twitter: ""Hört auf das Großkapital!"" 
Wenn ein Business Angel…"
F,"""...Kein Wunder, dass auch in der deutschen Politik die Lösung für praktisch jedes Problem ein neues Gesetz, ein neues Referat oder gar eine neue Behörde ist..."" ein sehr schöner Artikel von @PatrickBernau in der #FAZ
https://t.co/Qs8ztW30ux via @faznet"
F,"RT @Bananas4All: #banana EC - DE: zoom meeting “Towards a Fair Banana“
30 de junio de 2021
10.00-11.00hs (hora de Guayaquil)
17.00-18.00hs…"
F,RT @_MartinHagen: Die CSU will angeblich den Soli abschaffen und die Unternehmenssteuern senken. Gleichzeitig warnt sie in einer Broschüre…
F,"irgendwie schräg, wenn der SPD Kanzlerkandidat, @OlafScholz, auf dem #TDI sagt: “Unternehmerische initiative sollte nicht gegängelt werden, darauf können sie sich verlassen!"" während sein Parteigenosse Kevin Kühnert von Enteignungen großer Familienunternehmen träumt... https://t.co/xx7Skjwbcq"
F,"""...natürlich dürfen wir auch beim Bürokratieabbau nicht nachlassen..."" so Angela Merkel heute auf dem Tag der Industrie #TDI21 des #BDI -
🤔 mir ist noch gar nicht aufgefallen, dass wir mit dem Bürokratieabbau bereits begonnen haben 😆
(Stichwort Lieferkettengesetz etc.;-)"
F,"Grundsätzlich gilt: Wer Partnern nicht Verlässlichkeit bieten will, wird irgendwann ziemlich einsam auf dem handelspolitischen Parkett stehen. (2/2) TK"
F,"Die Haltung der #USA ist die logische Konsequenz auf den in der jüngeren Vergangenheit kultivierten europäischen Protektionismus, der auch wichtigen Handelsabkommen wie #CETA und #Mercosur im Weg steht. (1/2) 
https://t.co/XYCfRffxhM"
F,"RT @LHG_tuebingen: Die Menschenrechtssituation der Uiguren in China: Danke an @lofferg, @AKulitz, @MarkertVivien und @UyghurCongress für di…"
F,"Stuttgart, Landesparteitag. Ich gratuliere dem neuen wiedergewählten Landesvorstand der @FDPBW! https://t.co/OABPlpoGCH"
F,Auf #Campus&amp;Karriere des #DLF beruft sich der sächsische Minister #Piwarz @Bildung_Sachsen auf ein altes Gutachten aus 2020 des #UBA mit dem Argument mobile #Luftfilter seien für Schulen ungeeignet. Er ignoriert damit neuere Empfehlungen der Aerosolforschung. Schade!
F,RT @lofferg: Heute Abend als Referent zur Menschenrechtswoche #Tübingen bei @LHG_tuebingen zur Situation der Uiguren. Gute Möglichkeit Aust…
F,"...und bitte Denke daran dem Staat dankbar zu sein! Denn er ist großzügig und gütig! Er gewährt Dir sogar Deine Grund- und Bürgerrechte (also übertreib's bitte nicht bei deren Ausübung) und denk bei der Wahl immer daran - nicht alle haben es so gut wie wir 
🥴

*Ironie  aus! * https://t.co/EUKNulSg7z"
F,RT @RihardsKols: A meeting focused on defence and on our countries' cooperation in NATO - discussed the role of Germany in formulating NATO…
F,RT @thehertieschool: ⏯️ Missed our first event with @OpenSociety on the 🇩🇪 elections? Check out the video w/@D_Schwarzer @n_roettgen @AKuli…
F,"""dass längst nicht alle Abgeordneten wirklich wussten, worüber sie da im Einzelnen abstimmten,als das #Lieferkettengesetz am Freitag an der Reihe war[..] Zumindest einer der Abgeordneten hat sich detailliert mit dem Inhalt des Gesetzes beschäftigt.""@faznet https://t.co/0LZ31zPvNX"
F,"RT @olafinderbeek: Wie tief soll #Inzidenz eigentlich sinken, damit epidemische Lage beendet wird, @jensspahn? Wenn keine #Notlage mehr bes…"
F,RT @OpenSocietyDE: What kind of German foreign policy can we expect in the post-Merkel era? We are discussing this right now with @n_roettg…
F,"frustrierend wie naiv viele Kollegen immernoch glauben, der vorliegende Entwurf des #Lieferkettengesetz würde die internationale Menschenrechtslage verbessern. https://t.co/kT5Vo9JN1T das Gegenteil  ist zu befürchten!"
F,Der Hauptkritikpunkt daran lässt sich nicht wegdiskutieren: Die vorgesehenen Bußgelder betreffen primär formelle Verfehlungen bei falscher Dokumentation und nicht die Ahndung von tatsächlichen Menschenrechtsverletzungen. Das ist politischer Wahlaktivismus par Excellence!
F,"Für kleine und mittlere Unternehmen bleibt der Entwurf des Lieferkettengesetzes auch nach der Einigung der #GroKo eine Katastrophe. Es ist völlig unverständlich, warum Union und SDP stoisch alle guten Ratschläge und Warnungen aus der Wirtschaft ignorieren. #Lieferketten (1/2)"
F,"RT @Jatzel09: Recibí hoy a @AKulitz, Diputado federal de Alemania y miembro de la Comisión de Relaciones Exteriores en el Bundestag. Tuvimo…"
F,"Eine gute, vertrauensvolle Zusammenarbeit mit der #Schweiz ist unabdingbar. Wir sollten uns unverzüglich auf neue Formate der Zusammenarbeit konzentrieren – innereuropäischer Protektionismus und Nationalismus darf unter keinen Umständen hoffähig werden. https://t.co/JBRpi48IYW"
F,"Die Aufhebung des gewerblichen Rechtsschutzes wäre ein falsches und gefährliches Signal. Besser wäre es, an #Indien entsprechende evtl. staatlich geförderte Lizenzen zu vergeben, um schnell vor Ort Impfstoff produzieren zu können. #Impfstoff #Corona https://t.co/hGvZI3LEwA"
